ID	Type	Class	Count	Total
Mammoth1	PC	Weak	8027	127397
Mammoth1	PC	Strong	7459	127397
Mammoth2	PC	Weak	582	1373
Mammoth2	PC	Strong	0	1373
Mammoth3	PC	Weak	2992	6685
Mammoth3	PC	Strong	0	6685
Mammoth4	PC	Weak	1460	43328
Mammoth4	PC	Strong	136	43328
Mammoth5	PC	Weak	335	1296
Mammoth5	PC	Strong	0	1296
Mammoth6	PC	Weak	11763	25568
Mammoth6	PC	Strong	9	25568
Mammoth7	PC	Weak	288	38222
Mammoth7	PC	Strong	0	38222
Mammoth8	PC	Weak	144	778
Mammoth8	PC	Strong	0	778
Mammoth9	PC	Weak	211	1035
Mammoth9	PC	Strong	0	1035
Mammoth10	PC	Weak	17552	35624
Mammoth10	PC	Strong	48	35624
