genes	variable	value
Mir-10-P3b	Human_Thyroid	13.8471276603816
Mir-181-P1a	Human_Thyroid	13.6776017951358
Mir-181-P1b	Human_Thyroid	13.3789261997119
Mir-22-P1b	Human_Thyroid	17.0218208637136
Mir-27-P2	Human_Thyroid	16.834099978895
Mir-143	Human_Thyroid	16.5722390761933
Mir-10-P2c	Human_Thyroid	10.6499177458518
Mir-10-P3c	Human_Thyroid	11.0523537756598
Mir-10-P3d	Human_Thyroid	11.002363532617
Let-7-P1d	Human_Thyroid	10.0417541243758
Mir-101-P1-v2	Human_Thyroid	9.62954178228116
Mir-24-P2	Human_Thyroid	9.44534662806089
Mir-10-P2d	Human_Thyroid	12.5904414860783
Mir-1-P1	Human_Brain	2.52289945735412
Mir-1-P3	Human_Brain	2.43212210925725
Mir-133-P1-v1	Human_Brain	4.73139143812577
Mir-133-P3-v1	Human_Brain	5.00398721521994
Mir-9-P1	Human_Brain	13.4640012022755
Mir-9-P2	Human_Brain	13.7070145744444
Mir-124-P1-v2	Human_Brain	8.57631235392293
Mir-184	Human_Brain	4.96033245584685
Mir-1-P2	Human_Brain	0.625374330753765
Mir-10-P1c-v1	Human_Brain	7.34870536909275
Mir-10-P1c-v2	Human_Brain	7.10183159670621
Let-7-P2b2	Human_Brain	13.3260499978195
Let-7-P2c2	Human_Brain	11.6035738335599
Mir-92-P1a	Human_Brain	11.3114566995273
Let-7-P2a1	Human_Brain	10.2767233059307
Let-7-P2b1	Human_Brain	11.4592802692132
Let-7-P2a2	Human_Brain	13.5569247173326
Mir-10-P3b	Human_Brain	13.8260219083794
Mir-181-P1a	Human_Brain	15.3169682250772
Mir-181-P1b	Human_Brain	16.1236362065103
Mir-22-P1b	Human_Brain	15.4142672306153
Mir-27-P2	Human_Brain	15.3889350050652
Mir-143	Human_Brain	13.7323067980799
Mir-10-P2c	Human_Brain	10.7740116952479
Mir-10-P3c	Human_Brain	12.6520572407678
Mir-10-P3d	Human_Brain	11.3116897557918
Let-7-P1d	Human_Brain	10.198322691074
Mir-101-P1-v2	Human_Brain	7.5572613268107
Mir-24-P2	Human_Brain	7.27464755902977
Mir-10-P2d	Human_Brain	13.2821184809962
Mir-1-P1	Human_Cartilage	1.53671268536097
Mir-1-P3	Human_Cartilage	0.361996099659382
Mir-133-P1-v1	Human_Cartilage	0.618141101265368
Mir-133-P3-v1	Human_Cartilage	0.962116776974148
Mir-9-P1	Human_Cartilage	0
Mir-9-P2	Human_Cartilage	0.48493433651058
Mir-124-P1-v2	Human_Cartilage	0
Mir-184	Human_Cartilage	0
Mir-1-P2	Human_Cartilage	0
Mir-10-P1c-v1	Human_Cartilage	4.72464236248833
Mir-10-P1c-v2	Human_Cartilage	5.68449396240697
Let-7-P2b2	Human_Cartilage	13.3935506432242
Let-7-P2c2	Human_Cartilage	14.0508101636942
Mir-92-P1a	Human_Cartilage	11.6232472056351
Let-7-P2a1	Human_Cartilage	14.705610544039
Let-7-P2b1	Human_Cartilage	12.1034324671383
Let-7-P2a2	Human_Cartilage	12.7393280574832
Mir-10-P3b	Human_Cartilage	13.9880356510174
Mir-181-P1a	Human_Cartilage	9.47684441149421
Mir-181-P1b	Human_Cartilage	8.94867707994398
Mir-22-P1b	Human_Cartilage	15.5600357061579
Mir-27-P2	Human_Cartilage	15.1294630621598
Mir-143	Human_Cartilage	16.0361263402713
Mir-10-P2c	Human_Cartilage	11.0111388285236
Mir-10-P3c	Human_Cartilage	13.3897949519002
Mir-10-P3d	Human_Cartilage	14.0401538758805
Let-7-P1d	Human_Cartilage	10.5357765220628
Mir-101-P1-v2	Human_Cartilage	9.16740843613002
Mir-24-P2	Human_Cartilage	8.5652369448756
Mir-10-P2d	Human_Cartilage	18.32734211707
Mir-1-P1	Human_Lung	0
Mir-1-P3	Human_Lung	0
Mir-133-P1-v1	Human_Lung	0
Mir-133-P3-v1	Human_Lung	0.59307739048727
Mir-9-P1	Human_Lung	0.314639453874328
Mir-9-P2	Human_Lung	0.420579310228355
Mir-124-P1-v2	Human_Lung	0
Mir-184	Human_Lung	0.678987504833688
Mir-1-P2	Human_Lung	0
Mir-10-P1c-v1	Human_Lung	7.63925035858242
Mir-10-P1c-v2	Human_Lung	8.1102551067361
Let-7-P2b2	Human_Lung	12.0272615661865
Let-7-P2c2	Human_Lung	12.9577165645288
Mir-92-P1a	Human_Lung	13.7335139495923
Let-7-P2a1	Human_Lung	12.0629463813999
Let-7-P2b1	Human_Lung	13.369607082379
Let-7-P2a2	Human_Lung	11.0278795842609
Mir-10-P3b	Human_Lung	13.4667856871981
Mir-181-P1a	Human_Lung	13.8812763388908
Mir-181-P1b	Human_Lung	12.5834624253947
Mir-22-P1b	Human_Lung	16.7760707708853
Mir-27-P2	Human_Lung	14.7592654778443
Mir-143	Human_Lung	7.53170208252323
Mir-10-P2c	Human_Lung	9.26162184003262
Mir-10-P3c	Human_Lung	10.8330180717203
Mir-10-P3d	Human_Lung	10.293091498978
Let-7-P1d	Human_Lung	10.7249436361725
Mir-101-P1-v2	Human_Lung	7.78165583668244
Mir-24-P2	Human_Lung	8.51340981442734
Mir-10-P2d	Human_Lung	16.0951669419603
Mir-1-P1	Human_Skin	0
Mir-1-P3	Human_Skin	0
Mir-133-P1-v1	Human_Skin	0
Mir-133-P3-v1	Human_Skin	0
Mir-9-P1	Human_Skin	1.79262070515326
Mir-9-P2	Human_Skin	3.76863642770636
Mir-124-P1-v2	Human_Skin	0
Mir-184	Human_Skin	0
Mir-1-P2	Human_Skin	0
Mir-10-P1c-v1	Human_Skin	15.5389667546377
Mir-10-P1c-v2	Human_Skin	15.8953266623753
Let-7-P2b2	Human_Skin	12.7896222175191
Let-7-P2c2	Human_Skin	15.1264113392269
Mir-92-P1a	Human_Skin	14.1859819807233
Let-7-P2a1	Human_Skin	16.9045510721697
Let-7-P2b1	Human_Skin	18.1096681489923
Let-7-P2a2	Human_Skin	16.0909613322748
Mir-10-P3b	Human_Skin	15.5883626554808
Mir-181-P1a	Human_Skin	16.1551228088308
Mir-181-P1b	Human_Skin	17.1381753242315
Mir-22-P1b	Human_Skin	14.6704421014468
Mir-27-P2	Human_Skin	18.0205415870208
Mir-143	Human_Skin	8.24804255178254
Mir-10-P2c	Human_Skin	12.7817156821126
Mir-10-P3c	Human_Skin	13.3389590736879
Mir-10-P3d	Human_Skin	8.97434192796289
Let-7-P1d	Human_Skin	14.1241057352436
Mir-101-P1-v2	Human_Skin	12.7425716675108
Mir-24-P2	Human_Skin	8.7788324408519
Mir-10-P2d	Human_Skin	8.59116306964863
Mir-1-P1	Human_Plasma	7.20181916680541
Mir-1-P3	Human_Plasma	5.04952594094506
Mir-133-P1-v1	Human_Plasma	3.47468746212369
Mir-133-P3-v1	Human_Plasma	3.60964642753461
Mir-9-P1	Human_Plasma	1.881795414518
Mir-9-P2	Human_Plasma	2.94807041903687
Mir-124-P1-v2	Human_Plasma	0.182858977040218
Mir-184	Human_Plasma	0.274178393725005
Mir-1-P2	Human_Plasma	3.77233921642326
Mir-10-P1c-v1	Human_Plasma	8.73176059986155
Mir-10-P1c-v2	Human_Plasma	9.0457041627308
Let-7-P2b2	Human_Plasma	13.1595740691716
Let-7-P2c2	Human_Plasma	13.8419391406719
Mir-92-P1a	Human_Plasma	13.26668829304
Let-7-P2a1	Human_Plasma	12.8954398984304
Let-7-P2b1	Human_Plasma	11.3300050453995
Let-7-P2a2	Human_Plasma	10.5073392542285
Mir-10-P3b	Human_Plasma	10.4568036901075
Mir-181-P1a	Human_Plasma	11.4460751717472
Mir-181-P1b	Human_Plasma	11.3166553911749
Mir-22-P1b	Human_Plasma	14.2136276027375
Mir-27-P2	Human_Plasma	11.7147212323763
Mir-143	Human_Plasma	11.6112510950851
Mir-10-P2c	Human_Plasma	8.89640927627602
Mir-10-P3c	Human_Plasma	5.59099240790955
Mir-10-P3d	Human_Plasma	8.57404560529668
Let-7-P1d	Human_Plasma	9.83419361243786
Mir-101-P1-v2	Human_Plasma	9.36619016681827
Mir-24-P2	Human_Plasma	12.4716984020372
Mir-10-P2d	Human_Plasma	7.78546320271389
Mir-1-P1	Human_Placenta	2.25861688002347
Mir-1-P3	Human_Placenta	0.821068141992485
Mir-133-P1-v1	Human_Placenta	3.53477641531608
Mir-133-P3-v1	Human_Placenta	5.47402488481317
Mir-9-P1	Human_Placenta	3.6102474383141
Mir-9-P2	Human_Placenta	5.17237301554273
Mir-124-P1-v2	Human_Placenta	0
Mir-184	Human_Placenta	5.57638668859075
Mir-1-P2	Human_Placenta	0
Mir-10-P1c-v1	Human_Placenta	12.3958326691433
Mir-10-P1c-v2	Human_Placenta	11.8112108995555
Let-7-P2b2	Human_Placenta	9.55292744192338
Let-7-P2c2	Human_Placenta	10.0729979523148
Mir-92-P1a	Human_Placenta	10.8966931752998
Let-7-P2a1	Human_Placenta	8.73759876566544
Let-7-P2b1	Human_Placenta	8.19920237264766
Let-7-P2a2	Human_Placenta	11.569879392341
Mir-10-P3b	Human_Placenta	14.3660377362631
Mir-181-P1a	Human_Placenta	14.6898097300042
Mir-181-P1b	Human_Placenta	13.96061825002
Mir-22-P1b	Human_Placenta	16.3412018825441
Mir-27-P2	Human_Placenta	15.654713327029
Mir-143	Human_Placenta	17.6254965250559
Mir-10-P2c	Human_Placenta	7.16352716487339
Mir-10-P3c	Human_Placenta	9.15379933947538
Mir-10-P3d	Human_Placenta	9.25922853232174
Let-7-P1d	Human_Placenta	12.1523866802347
Mir-101-P1-v2	Human_Placenta	8.96208671772691
Mir-24-P2	Human_Placenta	8.02108984491667
Mir-10-P2d	Human_Placenta	12.9081180870897
Mir-1-P1	Human_Ovary	3.00281836787611
Mir-1-P3	Human_Ovary	2.59008791051646
Mir-133-P1-v1	Human_Ovary	5.9613946904103
Mir-133-P3-v1	Human_Ovary	7.88343169344173
Mir-9-P1	Human_Ovary	6.08560154573787
Mir-9-P2	Human_Ovary	4.41973492703444
Mir-124-P1-v2	Human_Ovary	0
Mir-184	Human_Ovary	2.52285150320028
Mir-1-P2	Human_Ovary	0
Mir-10-P1c-v1	Human_Ovary	12.4997519322001
Mir-10-P1c-v2	Human_Ovary	10.581542698938
Let-7-P2b2	Human_Ovary	14.0136040672713
Let-7-P2c2	Human_Ovary	12.4835795866457
Mir-92-P1a	Human_Ovary	13.1643208329467
Let-7-P2a1	Human_Ovary	14.0676265772967
Let-7-P2b1	Human_Ovary	13.065233262507
Let-7-P2a2	Human_Ovary	13.8771381444058
Mir-10-P3b	Human_Ovary	15.3415520782891
Mir-181-P1a	Human_Ovary	14.4249592187159
Mir-181-P1b	Human_Ovary	12.2712416111269
Mir-22-P1b	Human_Ovary	15.0673103711953
Mir-27-P2	Human_Ovary	16.2176974816408
Mir-143	Human_Ovary	18.5925436220925
Mir-10-P2c	Human_Ovary	12.088560856005
Mir-10-P3c	Human_Ovary	12.1006635100762
Mir-10-P3d	Human_Ovary	14.2508399903287
Let-7-P1d	Human_Ovary	12.9167693910799
Mir-101-P1-v2	Human_Ovary	10.8066216823722
Mir-24-P2	Human_Ovary	7.6318686416592
Mir-10-P2d	Human_Ovary	13.2946913067244
