1	CT5	GA3	CT_CpG_5	GA_CpG_3
1	0.0107	0.0104	0.0375	0.0325
2	0.0129	0.0117	0.0202	0.0231
3	0.0095	0.0105	0.014	0.0149
4	0.011	0.0107	0.0127	0.0123
5	0.0107	0.0105	0.0114	0.0131
6	0.0107	0.0097	0.0083	0.0107
7	0.0112	0.0101	0.0114	0.01
8	0.009	0.0093	0.0093	0.008
9	0.0093	0.0096	0.0102	0.01
10	0.0091	0.0088	0.01	0.0112
11	0.0095	0.0091	0.0081	0.0097
12	0.0098	0.0094	0.0067	0.0075
13	0.0094	0.011	0.0075	0.0093
14	0.0097	0.0115	0.0092	0.0091
15	0.01	0.0098	0.0071	0.0091
16	0.0101	0.01	0.0103	0.0109
17	0.0102	0.0102	0.0078	0.0084
18	0.0086	0.0109	0.0092	0.0093
19	0.0105	0.01	0.0088	0.0099
20	0.0089	0.0093	0.0085	0.0064
21	0.0101	0.0096	0.008	0.009
22	0.0101	0.01	0.008	0.0076
23	0.0107	0.0102	0.0093	0.0102
24	0.0099	0.0094	0.0076	0.0088
25	0.009	0.0095	0.0087	0.0105
26	0.01	0.0099	0.0093	0.007
27	0.0111	0.0087	0.0069	0.008
28	0.0099	0.0091	0.0065	0.0054
29	0.0093	0.0093	0.0061	0.0056
30	0.0086	0.0095	0.0063	0.007
